text,label
"Congratulations! You have won a free iPhone. Click here to claim your prize now.",1
"Your bank account has been suspended. Verify your details immediately.",1
"Urgent: Login to your account to avoid deactivation.",1
"Claim your lottery winnings today by clicking this link.",1
"Your PayPal account has been limited. Update your information now.",1
"Exclusive offer! Get 90% discount today only.",1
"Security alert: Your account was accessed from an unknown device.",1
"Click here to receive your tax refund instantly.",1
"Update your password using the link below.",1
"Your package delivery failed. Confirm your address now.",1
"Meeting scheduled for tomorrow at 10 AM.",0
"Please find the attached project report for review.",0
"Thank you for attending today's conference.",0
"The team lunch is planned for Friday afternoon.",0
"Your order has been shipped successfully.",0
"Monthly performance report is attached.",0
"Let's discuss the project requirements tomorrow.",0
"Happy Birthday! Wishing you a wonderful year ahead.",0
"The invoice for last month is attached.",0
"Reminder: Submit your assignment before Monday.",0
"Get rich quickly by investing in this secret scheme.",1
"Your Netflix account payment failed. Update billing information.",1
"You have been selected for a cash reward.",1
"Verify your identity to prevent account closure.",1
"Click the secure link to unlock your account.",1
"Important notice regarding your online banking.",1
"Your email storage is full. Upgrade now.",1
"Win a brand new smartphone today.",1
"Act now to avoid losing access to your account.",1
"Free vacation package waiting for you.",1
"Project kickoff meeting has been moved to Tuesday.",0
"Please review the updated presentation slides.",0
"The client approved the final design.",0
"Your train ticket has been confirmed.",0
"The workshop agenda is attached for reference.",0
"Please join the Zoom meeting at 2 PM.",0
"Weekly sales report has been uploaded.",0
"Your library book is due next week.",0
"Thank you for your purchase.",0
"The software update was completed successfully.",0
